"filename", "language", "Markdown", "JavaScript", "JSON", "Vue", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\package-lock.json", "JSON", 0, 0, 15409, 0, 0, 0, 0, 1, 15410
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\package.json", "JSON", 0, 0, 76, 0, 0, 0, 0, 1, 77
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\App.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\assets\reset.css", "CSS", 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\components\BlogContentBox.vue", "Vue", 0, 0, 0, 140, 0, 0, 0, 3, 143
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\components\HeaderBox.vue", "Vue", 0, 0, 0, 77, 0, 0, 6, 3, 86
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\components\NewBlogBox.vue", "Vue", 0, 0, 0, 77, 0, 0, 0, 3, 80
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\components\PersonalInfomationBox.vue", "Vue", 0, 0, 0, 153, 0, 0, 0, 5, 158
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\main.js", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 2, 15
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\router\index.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 4, 48
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\store\index.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\CreationSpaceHomePage.vue", "Vue", 0, 0, 0, 63, 0, 0, 0, 3, 66
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\CreationSpaceWriteBlog.vue", "Vue", 0, 0, 0, 63, 0, 0, 0, 3, 66
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\HomePage.vue", "Vue", 0, 0, 0, 39, 0, 0, 0, 3, 42
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\Login.vue", "Vue", 0, 0, 0, 129, 0, 0, 1, 3, 133
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\PersonalInfo.vue", "Vue", 0, 0, 0, 33, 0, 0, 0, 3, 36
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\src\views\Regist.vue", "Vue", 0, 0, 0, 134, 0, 0, 1, 3, 138
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\tests\unit\example.spec.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\st203\Desktop\WorkSpace\ShuTBlog\shutblog_frontend\vue.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 23, 106, 15485, 921, 25, 16, 14, 57, 16647
